id;finsat;objfinlit;subfinlit;optfinbeh;finatt;finlitindex;recfined;age18;age24;age44;age64;female;education;married;children;income_high;income_low;country
220;9;8;7;7,5;5;20,5;1;0;1;0;0;1;1;0;0;0;0;1
221;6;8;7;10;8;26;1;0;0;1;0;1;1;0;0;0;0;0
222;3;6;3;2,5;1;9,5;0;0;0;1;0;1;1;0;0;0;0;1
223;1;6;5;5;7;18;0;0;0;1;0;1;1;0;0;0;0;1
224;2;4;7;2,5;5;11,5;1;0;1;0;0;0;1;0;0;0;1;0
225;6;8;7;7,5;8;23,5;1;0;1;0;0;0;1;0;0;0;0;1
226;8;8;10;10;10;28;0;0;1;0;0;0;1;0;0;1;0;1
227;7;10;10;7,5;10;27,5;1;0;0;0;1;0;1;0;1;1;0;1
228;5;6;5;7,5;8;21,5;1;0;1;0;0;0;1;0;0;0;1;1
229;8;2;5;10;7;19;0;0;1;0;0;1;1;0;0;0;0;1
230;7;8;7;10;9;27;1;0;1;0;0;0;1;0;0;1;0;1
231;3;6;6;10;10;26;1;0;0;1;0;1;1;0;0;0;1;1
232;3;8;5;7,5;10;25,5;1;1;0;0;0;0;0;0;0;0;0;1
233;7;8;9;7,5;8;23,5;1;0;0;0;1;1;1;0;1;1;0;1
234;5;6;5;10;5;21;0;1;0;0;0;1;1;0;0;0;0;0
235;5;8;4;5;3;16;1;0;0;1;0;1;1;0;0;0;0;0
236;7;8;8;7,5;4;19,5;1;0;0;1;0;0;1;0;0;1;0;0
237;6;8;8;5;9;22;1;0;0;1;0;0;1;0;0;1;0;0
238;3;4;7;5;9;18;1;0;0;1;0;0;1;1;1;1;0;1
239;5;8;10;5;1;14;0;0;0;0;1;1;1;1;1;0;0;0
240;9;8;8;7,5;8;23,5;1;0;0;1;0;0;1;0;0;0;0;0
241;4;6;5;5;1;12;1;0;1;0;0;0;1;0;0;0;0;0
242;4;6;5;7,5;10;23,5;1;0;0;1;0;0;1;0;0;0;0;0
243;6;6;8;7,5;10;23,5;1;0;1;0;0;0;1;0;0;0;0;0
244;5;6;5;7,5;7;20,5;1;0;0;1;0;1;1;0;1;1;0;0
245;8;8;7;7,5;10;25,5;1;0;0;0;1;1;1;1;1;0;0;1
246;8;4;8;10;10;24;1;0;0;1;0;0;1;1;1;1;0;0
247;8;6;8;7,5;7;20,5;1;0;0;1;0;0;1;1;1;1;0;1
248;1;8;3;5;2;15;1;0;0;1;0;1;1;1;1;0;0;0
249;1;4;1;0;1;5;0;0;0;1;0;1;1;0;0;0;0;0
250;6;8;8;7,5;9;24,5;1;0;1;0;0;1;1;0;0;0;0;0
251;4;4;7;7,5;8;19,5;1;0;0;1;0;1;1;1;0;0;0;0
252;5;6;7;7,5;1;14,5;1;0;1;0;0;1;1;1;1;1;0;0
253;6;6;7;7,5;7;20,5;1;0;1;0;0;1;1;0;0;0;0;0
254;8;8;8;7,5;9;24,5;1;0;0;1;0;0;1;0;0;1;0;0
255;4;8;8;5;6;19;1;0;0;1;0;0;1;0;0;0;0;0
